Channel,Click Cost,Campaign ID,other date
Organic,0,none,2/24/03 0:00
Google AdSense,1.38247245,cd4f7294-49f9-4f30-ba75-97b96c743181,5/7/03 0:00
Organic,0,none,7/1/03 0:00
Organic,0,none,8/25/03 0:00
,0,,10/10/03 0:00
,0,,10/28/03 0:00
,0,,11/11/03 0:00
,0,,11/18/03 0:00
Organic,0,none,12/1/03 0:00
Google AdSense,0.347038897,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/15/04 0:00
Organic,0,none,2/20/04 0:00
Google AdSense,4.674861915,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/5/04 0:00
Organic,0,none,5/18/04 0:00
FB ads,7.32272706,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,6/28/04 0:00
Organic,0,none,7/23/04 0:00
Google AdSense,3.082509641,6527cd48-b240-44e1-b69c-c59ba998cccd,8/27/04 0:00
Organic,0,none,9/30/04 0:00
Google AdSense,0.778402687,cd4f7294-49f9-4f30-ba75-97b96c743181,10/15/04 0:00
Organic,0,none,11/2/04 0:00
Organic,0,none,11/15/04 0:00
Google AdSense,1.082592146,cd4f7294-49f9-4f30-ba75-97b96c743181,11/24/04 0:00
FB ads,5.461762226,6527cd48-b240-44e1-b69c-c59ba998cccd,12/17/04 0:00
Organic,0,none,2/3/05 0:00
Google AdSense,1.452854054,cd4f7294-49f9-4f30-ba75-97b96c743181,3/3/05 0:00
FB ads,3.801030999,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/8/05 0:00
FB ads,3.025924094,cd4f7294-49f9-4f30-ba75-97b96c743181,5/13/05 0:00
Organic,0,none,1/29/03 0:00
,0,,3/24/03 0:00
Organic,0,none,5/28/03 0:00
FB ads,3.137550314,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,7/24/03 0:00
Organic,0,none,9/19/03 0:00
Organic,0,none,10/20/03 0:00
FB ads,4.780526926,cd4f7294-49f9-4f30-ba75-97b96c743181,11/6/03 0:00
Google AdSense,2.67680263,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/13/03 0:00
Google AdSense,2.684888677,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/25/03 0:00
Organic,0,none,12/5/03 0:00
